,has_syn,has_nsyn,cnv,exp_uq
2c581a74-7716-4c20-b366-a8e1d9a901f6,1.0,0.0,2.0,110.87177683600001
2e8ad1cd-d5d5-4bb4-8bbd-e9bef45088da,0.0,0.0,2.0,55.5349594928
39c55051-e1bc-4081-962a-17205645de45,0.0,1.0,2.0,3.54505879927
3feac02a-c99f-4dd9-9eff-e4f5e87f7dc5,1.0,0.0,2.0,18.2987394704
51206157-94cc-4702-8247-c98283b487aa,0.0,0.0,2.0,17.139899561
5c156f63-6537-4d93-a6c2-4155618cf638,0.0,0.0,2.0,
5ecc88f7-8391-4168-af11-07a6bf9b3652,0.0,1.0,3.0,0.6240515293819999
675a5a32-b405-4f03-bfcd-756343d1dfaf,0.0,0.0,4.0,
68b7fdb1-22b5-4152-9e69-a41151640cd8,0.0,0.0,2.0,44.08525271
759e20be-6a2b-4c54-aca0-6d358598d6f5,0.0,0.0,2.0,
88e35d25-d98d-4576-8ebe-1cd74010ecd8,0.0,0.0,4.0,3.2596399760100003
8fa0484b-5f95-4ec8-b3de-cea2e8f3c5ca,0.0,0.0,2.0,0.48303813880400004
8fb7fcac-6c1d-40c2-9309-b53821cbef30,0.0,0.0,2.0,18.8233266996
a2034620-e4b5-4d4f-ac05-7fc1c098eb40,0.0,0.0,2.0,
a54aac0e-4108-49cf-bf50-687031c7cda6,0.0,0.0,2.0,36.625636280100004
b30dfb8b-8288-4e5a-afc2-3d5bd7bfa26c,0.0,1.0,2.0,
b6365bdb-e6d5-4615-95b3-db12a0c2f3d9,0.0,0.0,2.0,17.7180272273
ba67c02a-180b-43f3-b53c-2b77d84fbe3c,0.0,0.0,2.0,1.44298332508
c19a1388-95e6-4708-a24c-3738f1908071,0.0,0.0,3.0,
c298ec82-8305-4c89-898f-268308f782b2,0.0,0.0,2.0,4.30120490231
c9ad6b1c-baa0-45a7-b7c4-733728505b8a,0.0,0.0,4.0,59.4455894604
d4c6061b-5019-4564-806d-4e75910a4690,0.0,0.0,3.0,
dacd4cc2-fc2b-4fbd-adf6-c8a46ae69c91,0.0,0.0,4.0,72.4690623764
dddea2e4-b8c3-4157-9d92-6de472e8375a,1.0,0.0,2.0,21.8328940756
decfb419-63b3-47b0-9dfc-baae180566a0,0.0,0.0,2.0,34.497237305300004
